mean,median,min,max,variance
0.035090506786771586,0.0363335944712162,-0.010045118629932404,0.06923778355121613,0.00017035270422144125
-0.0070714119691938325,-0.008050364442169666,-0.039874572306871414,0.043819770216941833,0.00016338669749621515
0.005615378090914874,0.006943686865270138,-0.05094510689377785,0.04426705464720726,0.00020958288724663184
0.0418739417392062,0.04131997004151344,-0.008454758673906326,0.08604572713375092,0.00018640687115354258
-0.038055051646195354,-0.0384463295340538,-0.08117667585611343,0.006766586098819971,0.00012585943462101515
-0.02263932994934112,-0.022904684767127037,-0.06419818103313446,0.017815591767430305,0.00011818177242448253
0.010379445501609552,0.01076935138553381,-0.031239459291100502,0.04640994593501091,0.00013733836348576043
0.0021478078711847956,-0.00034181581577286124,-0.03916575387120247,0.0854727104306221,0.0003431589757205382
0.018285035142952894,0.018835896626114845,-0.03329414129257202,0.05463991314172745,0.00016402003805187512
0.04745179058937356,0.04737153649330139,0.0033358344808220863,0.08566155284643173,0.00013747603363735008
0.036601685406975774,0.03659118711948395,-0.014850625768303871,0.08898480236530304,0.00021204632893106546
0.01076111329608966,0.010693032294511795,-0.025884276255965233,0.04757484793663025,0.00011124592169582472
0.0254220365802737,0.02593953348696232,-0.01266148965805769,0.06464534252882004,0.00012633927079632685
-0.0009552024014949439,-0.000770338112488389,-0.048047587275505066,0.03386645391583443,0.00012074120126688256
-0.05245155651494861,-0.05342283844947815,-0.08773507177829742,-0.01031733863055706,0.0001380856018450724
-0.004581381469460212,-0.004577513784170151,-0.05148375406861305,0.029935643076896667,0.00013332609181655836
0.019406774180437195,0.019582901149988174,-0.021898318082094193,0.0649612545967102,0.0001220940557342061
-0.0056550660584844085,-0.005783167202025652,-0.04510411620140076,0.032707974314689636,0.00011134581822055327
0.006624494672914807,0.006715825758874416,-0.0376698262989521,0.05116542801260948,0.00015827373846699077
-0.011253622616669418,-0.01208691019564867,-0.045666441321372986,0.04006180167198181,0.00017898355757959514
0.001855006433234145,0.0018469925271347165,-0.05113736540079117,0.04735471308231354,0.0001508485848932593
-0.009859825869556289,-0.010386135429143906,-0.04775674641132355,0.05280354619026184,0.0001445354229225077
-0.06497234034445137,-0.06471709907054901,-0.09666844457387924,-0.017710218206048012,0.00013103832013486798
-0.0025197514694208535,-0.0018416994716972113,-0.04184609651565552,0.03227827697992325,0.00011723136847590212
-0.02541903264496432,-0.02569270320236683,-0.07067881524562836,0.018279362469911575,0.00016097804097094088
-0.004088514670952009,-0.004701460711658001,-0.04193563759326935,0.031807053834199905,0.00012801455523724154
-0.0049135567196995,-0.005282744765281677,-0.04032452404499054,0.04395104572176933,0.00015203873385063812
0.004624640076064679,0.0065696705132722855,-0.0441097766160965,0.04629718139767647,0.00025817368714628773
0.0676232550861314,0.06797447055578232,0.022755108773708344,0.11046477407217026,0.00013535959824414776
0.04849548687785864,0.048944998532533646,0.016292929649353027,0.0841844379901886,0.00011472429879595032
-0.003309925347458488,-0.0029313371051102877,-0.042316701263189316,0.035376571118831635,0.00013247183599760927
-0.005860704130509248,-0.005817609839141369,-0.05460997298359871,0.036942657083272934,0.00014451260888365927
